ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,last_idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1707240366.013610,3079,3081,pg_catalog,pg_extension,pg_extension_name_index,0,,0,0,3079,3081,pg_catalog,pg_extension,pg_extension_name_index,1,0
1707240366.013610,2328,548,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,,0,0,2328,548,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,1,0
1707240366.013610,1417,549,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,,0,0,1417,549,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,1,0
1707240366.013610,1418,175,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,,0,0,1418,175,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,1,0
1707240366.013610,3256,3258,pg_catalog,pg_policy,pg_policy_polrelid_polname_index,0,,0,0,3256,3258,pg_catalog,pg_policy,pg_policy_polrelid_polname_index,2,3
1707240366.013610,6000,6002,pg_catalog,pg_replication_origin,pg_replication_origin_roname_index,0,,0,0,6000,6002,pg_catalog,pg_replication_origin,pg_replication_origin_roname_index,3,1
1707240366.013610,2607,2670,pg_catalog,pg_conversion,pg_conversion_oid_index,0,,0,0,2607,2670,pg_catalog,pg_conversion,pg_conversion_oid_index,1,0
1707240366.013610,1262,2672,pg_catalog,pg_database,pg_database_oid_index,362603,2024-02-06 11:26:06.014278-06,362601,362601,1262,2672,pg_catalog,pg_database,pg_database_oid_index,125,469525
1707240366.013610,2964,2965,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,428152,2024-02-06 11:26:06.014278-06,0,0,2964,2965,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,44,856268
1707240366.013610,1213,2697,pg_catalog,pg_tablespace,pg_tablespace_oid_index,10468,2024-02-06 11:26:06.017353-06,10468,10468,1213,2697,pg_catalog,pg_tablespace,pg_tablespace_oid_index,168,20751
1707240366.013610,1260,2677,pg_catalog,pg_authid,pg_authid_oid_index,24156,2024-02-06 11:26:06.014278-06,24156,24156,1260,2677,pg_catalog,pg_authid,pg_authid_oid_index,178,48138
1707240366.013610,1261,6303,pg_catalog,pg_auth_members,pg_auth_members_oid_index,0,,0,0,1261,6303,pg_catalog,pg_auth_members,pg_auth_members_oid_index,3,1
1707240366.013610,2396,2397,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,1,2024-01-16 16:53:47.114083-06,0,0,2396,2397,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,5,1
