ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653668461.992623,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,15,0
1653668461.992623,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,15,0
1653668461.992623,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_policy,pg_policy_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_policy,pg_policy_polrelid_polname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_replication_origin,pg_replication_origin_roiident_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_replication_origin,pg_replication_origin_roname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,592,0,0,117,1067
1653668461.992623,pg_catalog,pg_init_privs,pg_init_privs_o_c_o_index,1634,0,0,236,1683
