ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719458863.650984,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458863.650984,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458923.661039,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458923.661039,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458923.661039,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458923.661039,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458923.661039,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458923.661039,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458923.661039,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458923.661039,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458983.672813,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458983.672813,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458983.672813,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458983.672813,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458983.672813,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458983.672813,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458983.672813,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458983.672813,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459043.683945,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459043.683945,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459043.683945,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459043.683945,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459043.683945,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459043.683945,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
