Time,UID,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,cswch/s,nvcswch/s,Command
1707240486,0,13016,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,3.88,0.00,kworker/0:0
1707240486,89,13090,0.00,0.00,0.00,0.00,1,0.00,0.00,18120,3924,0.10,-1.00,-1.00,-1.00,0.02,0.00,pickup -l -t unix -u
1707240486,1002,19502,0.03,0.03,0.00,0.07,1,4.23,0.00,6128,2628,0.07,0.00,0.00,0.00,2.98,0.00,tmux
1707240486,0,22213,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,4.08,0.00,kworker/1:1
1707240486,0,26867,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,kworker/2:1
1707240486,0,27023,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.07,0.00,kworker/0:2
1707240486,1002,27518,0.00,0.00,0.00,0.00,1,0.03,0.00,300136,2072,0.05,0.00,0.13,0.00,0.00,0.00,/home/markwkm/.local/egen/bin/BrokerageHouseMain -d dbt5 -o /tmp/results/bh
1707240486,1002,27522,0.00,0.00,0.00,0.00,1,0.08,0.00,334180,27792,0.70,0.00,0.07,0.00,0.00,0.00,/home/markwkm/.local/egen/bin/MarketExchangeMain -c 5000 -t 5000 -i /home/markwkm/.local/egen/flat_in -o /tmp/results/mee
1707240486,1002,27538,0.00,0.00,0.00,0.00,1,0.10,0.00,252380,85492,2.17,0.00,0.33,0.00,0.00,0.00,/home/markwkm/.local/egen/bin/DriverMain -c 5000 -t 5000 -f 500 -w 300 -d 3600 -y 1000 -u 2 -n 0 -i /home/markwkm/.local/egen/f
1707240486,1002,27550,0.00,0.00,0.00,0.00,0,0.02,0.00,106012,772,0.02,0.00,0.07,0.00,0.02,0.00,sar -o /tmp/results/db/z15rhel7/sysstat/sar.datafile 60
1707240486,1002,27552,0.00,0.00,0.00,0.00,0,0.55,0.00,106760,936,0.02,0.00,0.13,0.00,0.02,0.00,sadc 60 -z -S ALL /tmp/results/db/z15rhel7/sysstat/sar.datafile
1707240486,1002,27609,0.00,0.00,0.00,0.00,2,6.03,0.00,107164,740,0.02,40.60,1.93,0.00,0.27,0.00,/bin/sh /home/markwkm/.local/src/touchstone-tools/builds/release/ts-pgsql-stat -o /tmp/results/db/z15rhel7/dbstat
1707240486,1002,27647,0.00,0.00,0.00,0.00,1,8.75,0.00,1287512,13908,0.35,0.67,0.27,0.00,0.17,0.03,postgres: markwkm dbt5 [local] idle
1707240486,1002,27648,0.00,0.00,0.00,0.00,3,6.93,0.02,1288608,20588,0.52,0.53,0.53,0.00,0.22,0.00,postgres: markwkm dbt5 [local] idle
1707240486,1002,27652,0.00,0.02,0.00,0.02,0,4.35,0.00,106320,1220,0.03,0.07,0.20,0.00,0.03,0.00,pidstat -h -l -d -r -u -w 60
1707240486,1002,27656,19.70,8.93,0.00,28.63,1,1772.98,0.00,1296056,1060712,26.89,145400.13,0.67,0.00,152.73,11.25,postgres: markwkm dbt5 [local] SELECT
1707240486,1002,27661,0.47,0.68,0.00,1.15,1,688.92,0.02,1296772,406288,10.30,3693.40,0.00,0.00,260.20,0.63,postgres: markwkm dbt5 [local] SELECT
1707240486,0,27674,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,37.92,0.02,kworker/2:2
1707240486,0,27855,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,kworker/0:1
1707240486,1002,27878,0.00,0.00,0.00,0.00,2,4.45,0.02,105940,640,0.02,0.27,0.00,0.00,0.03,0.00,sleep 60
1707240486,0,31060,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.22,0.00,kworker/u8:0
1707240546,0,1,0.00,0.00,0.00,0.00,3,0.00,0.00,17576,3516,0.09,-1.00,-1.00,-1.00,0.80,0.00,/usr/lib/systemd/systemd --system --deserialize 29
1707240546,0,6,0.00,0.02,0.00,0.02,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,2.75,0.00,ksoftirqd/0
1707240546,0,7,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.07,0.00,migration/0
1707240546,0,9,0.00,0.02,0.00,0.02,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,48.93,0.00,rcu_sched
1707240546,0,11,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,migration/1
1707240546,0,12,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.73,0.00,ksoftirqd/1
1707240546,0,15,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,migration/2
1707240546,0,16,0.00,0.02,0.00,0.02,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.97,0.00,ksoftirqd/2
1707240546,0,20,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.18,0.00,ksoftirqd/3
1707240546,0,25,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,khungtaskd
1707240546,0,42,0.00,4.33,0.00,4.33,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,13.38,60.42,kswapd0
1707240546,0,44,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,khugepaged
1707240546,0,347,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.28,0.00,kworker/2:1H
1707240546,0,375,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,5.72,0.00,xfsaild/vda3
1707240546,0,587,0.00,0.00,0.00,0.00,1,0.00,0.00,14256,460,0.01,-1.00,-1.00,-1.00,0.02,0.00,/sbin/auditd
1707240546,0,698,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.40,0.00,kworker/0:1H
1707240546,0,765,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.22,0.00,kworker/1:1H
1707240546,0,797,0.00,0.00,0.00,0.00,2,0.05,0.00,421480,2624,0.07,-1.00,-1.00,-1.00,0.02,0.00,/usr/sbin/NetworkManager --no-daemon
1707240546,0,1101,0.02,0.00,0.00,0.02,1,0.10,0.00,501036,3580,0.09,-1.00,-1.00,-1.00,0.02,0.00,/usr/sbin/rsyslogd -n
1707240546,0,1319,0.00,0.00,0.00,0.00,0,0.00,0.00,17984,196,0.00,-1.00,-1.00,-1.00,0.05,0.00,/usr/libexec/postfix/master -w
1707240546,0,1977,0.02,0.00,0.00,0.02,2,0.00,0.00,427388,928,0.02,-1.00,-1.00,-1.00,0.00,0.00,/usr/bin/python2 -Es /usr/sbin/tuned -l -P
1707240546,0,2340,0.00,0.00,0.00,0.00,0,0.00,0.00,107740,660,0.02,-1.00,-1.00,-1.00,0.02,0.00,/usr/sbin/crond -n
1707240546,0,3631,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,28.95,0.00,kworker/3:1
