ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457505.906756,6243,pg_catalog,pg_parameter_acl,0,0,2,0,0,0,1,0,6243,pg_catalog,pg_parameter_acl,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.863603+00,,2024-06-26 23:46:03.00631+00,,1,0,19,0
1719457505.906756,3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.006366+00,,0,0,18,0
1719457505.906756,3541,pg_catalog,pg_range,2,34,4,448,,,,,3541,pg_catalog,pg_range,0,0,226,0,0,0,0,0,6,0,0,0,,,2024-06-26 23:46:03.006525+00,,0,0,18,0
1719457505.906756,3576,pg_catalog,pg_transform,0,0,0,0,,,,,3576,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.006625+00,,0,0,18,0
1719457505.906756,2224,pg_catalog,pg_sequence,2,94,3,97,,,,,2224,pg_catalog,pg_sequence,0,0,39,39,20,0,19,0,1,19,2,20,,,2024-06-26 23:46:03.006758+00,,0,0,18,0
1719457505.906756,6104,pg_catalog,pg_publication,0,0,2,478,,,,,6104,pg_catalog,pg_publication,371,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.006871+00,,0,0,18,0
1719457505.906756,6237,pg_catalog,pg_publication_namespace,0,0,2,348,,,,,6237,pg_catalog,pg_publication_namespace,0,0,95,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.006928+00,,0,0,18,0
1719457505.906756,6106,pg_catalog,pg_publication_rel,0,0,3,429,0,0,0,0,6106,pg_catalog,pg_publication_rel,0,0,96,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.007+00,,0,0,18,0
1719457505.906756,6102,pg_catalog,pg_subscription_rel,0,0,0,0,,,,,6102,pg_catalog,pg_subscription_rel,762,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.007045+00,,0,0,18,0
1719457505.906756,2613,pg_catalog,pg_largeobject,0,0,0,0,,,,,2613,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.007111+00,,0,0,18,0
1719457505.906756,14042,pg_toast,pg_toast_14039,0,0,0,0,,,,,14042,pg_toast,pg_toast_14039,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,14039,information_schema,sql_features,9,153,,,0,0,0,0,14039,information_schema,sql_features,0,0,,,0,0,0,0,714,0,0,0,,,2024-06-26 23:46:03.00851+00,,0,0,18,0
1719457505.906756,14047,pg_toast,pg_toast_14044,0,0,0,0,,,,,14047,pg_toast,pg_toast_14044,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,14044,information_schema,sql_implementation_info,2,34,,,0,0,0,0,14044,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,0,,,2024-06-26 23:46:03.008705+00,,0,0,18,0
1719457505.906756,14052,pg_toast,pg_toast_14049,0,0,0,0,,,,,14052,pg_toast,pg_toast_14049,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,14049,information_schema,sql_parts,2,34,,,0,0,0,0,14049,information_schema,sql_parts,0,0,,,0,0,0,0,10,0,0,0,,,2024-06-26 23:46:03.008863+00,,0,0,18,0
1719457505.906756,14057,pg_toast,pg_toast_14054,0,0,0,0,,,,,14057,pg_toast,pg_toast_14054,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,14054,information_schema,sql_sizing,2,34,,,0,0,0,0,14054,information_schema,sql_sizing,0,0,,,0,0,0,0,23,0,0,0,,,2024-06-26 23:46:03.009028+00,,0,0,18,0
1719457505.906756,4268108,public,store_sales,0,0,,,,,,,4268108,public,store_sales,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268111,public,store_returns,0,0,,,,,,,4268111,public,store_returns,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268114,public,catalog_sales,0,0,,,,,,,4268114,public,catalog_sales,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268117,public,catalog_returns,0,0,,,,,,,4268117,public,catalog_returns,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268120,public,web_sales,0,0,,,,,,,4268120,public,web_sales,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268123,public,web_returns,0,0,,,,,,,4268123,public,web_returns,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268126,public,inventory,0,0,,,,,,,4268126,public,inventory,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268132,pg_toast,pg_toast_4268129,0,0,0,0,,,,,4268132,pg_toast,pg_toast_4268129,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4268129,public,store,0,0,,,0,0,0,0,4268129,public,store,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
